,pop,emp,unemp,seed,count,rate,components
224,6765,4118,130,0.0,1,0.030602636534839925,49035112914
225,5068,2714,71,0.0,1,0.02549371633752244,49035112916
226,4273,2475,63,0.0,1,0.024822695035460994,49035112917
227,5729,3269,124,0.0,1,0.036545829649277925,49035112918
228,4685,2388,67,0.0,1,0.027291242362525458,49035112920
229,3799,2094,83,0.0,1,0.03812586127698668,49035112921
230,6943,3421,76,0.0,1,0.021732913926222477,49035113008
231,6922,3748,64,0.0,1,0.016789087093389297,49035113010
232,6060,3194,57,0.0,1,0.01753306674869271,49035113011
233,5394,2568,86,0.0,1,0.03240391861341371,49035113012
234,5155,3002,58,0.0,1,0.01895424836601307,49035113013
235,4390,2647,61,0.0,1,0.022525849335302807,49035113014
236,6755,3656,63,0.0,1,0.0169400376445281,49035113016
237,6978,3698,78,0.0,1,0.02065677966101695,49035113017
238,6291,4262,43,0.0,1,0.009988385598141697,49035113019
239,12138,8271,68,0.0,1,0.008154454970619979,49035113020
240,7878,4122,162,0.0,1,0.037815126050420166,49035113101
241,4229,2169,127,0.0,1,0.05531358885017421,49035113102
242,4635,2439,33,0.0,1,0.013349514563106795,49035113105
243,24336,12236,325,0.0,1,0.025873736167502586,49035113107
244,4575,2206,26,0.0,1,0.011648745519713262,49035113108
245,6348,3475,143,0.0,1,0.039524599226091764,49035113306
246,7295,4124,141,0.0,1,0.03305978898007034,49035113307
247,5538,2829,128,0.0,1,0.043287115319580655,49035113308
248,5418,2655,95,0.0,1,0.034545454545454546,49035113309
249,7049,3212,163,0.0,1,0.048296296296296296,49035113406
250,12098,5565,203,0.0,1,0.03519417475728155,49035113407
251,5977,3285,112,0.0,1,0.03297026788342655,49035113409
252,7324,3167,98,0.0,1,0.03001531393568147,49035113410
253,2945,1514,52,0.0,1,0.033205619412515965,49035113411
254,3101,1661,58,0.0,1,0.03374054682955206,49035113412
255,6159,3258,142,0.0,1,0.04176470588235294,49035113413
256,7103,3812,256,0.0,1,0.06293018682399214,49035113505
257,6805,3805,110,0.0,1,0.0280970625798212,49035113509
258,3472,1828,47,0.0,1,0.025066666666666668,49035113510
259,4017,2063,67,0.0,1,0.03145539906103286,49035113511
260,3875,2272,36,0.0,1,0.01559792027729636,49035113512
261,5902,3670,77,0.0,1,0.020549773151854817,49035113513
262,6193,3401,209,0.0,1,0.05789473684210526,49035113514
263,5984,3432,56,0.0,1,0.016055045871559634,49035113515
