Type,Time,Amount
Red Packet,2/18/15 23:07,0.92
Red Packet,1/28/17 12:39,0.93
Red Packet,2/8/16 9:33,0.93
Red Packet,2/18/15 20:06,0.93
Red Packet,2/21/15 22:19,0.94
Red Packet,2/19/15 11:21,0.94
Red Packet,11/7/16 17:00,0.95
Red Packet,2/18/15 14:06,0.96
Red Packet,2/22/15 20:12,0.98
Red Packet,2/18/15 21:03,0.98
Red Packet,1/1/16 0:45,0.99
Red Packet,2/18/15 21:32,0.99
Red Packet,7/30/16 14:12,1
Red Packet,3/25/16 16:48,1
Red Packet,10/23/15 12:20,1
Red Packet,2/19/15 17:31,1
Red Packet,1/28/17 0:08,1.02
Red Packet,2/21/15 22:08,1.02
Red Packet,2/15/15 0:07,1.02
Red Packet,2/7/16 19:41,1.04
Red Packet,2/20/15 21:58,1.04
Red Packet,2/19/15 10:17,1.05
Red Packet,2/7/16 20:27,1.06
Red Packet,2/20/15 9:45,1.06
Red Packet,2/7/16 20:27,1.1
Red Packet,2/19/15 19:04,1.11
Red Packet,2/19/15 15:05,1.11
Red Packet,2/20/15 8:45,1.12
Red Packet,2/14/15 21:11,1.12
Red Packet,2/7/16 22:19,1.13
Red Packet,2/19/15 19:28,1.13
Red Packet,2/18/15 12:47,1.13
Red Packet,2/25/15 9:08,1.14
Red Packet,2/19/15 19:00,1.14
Red Packet,2/8/16 9:34,1.17
Red Packet,2/18/15 20:38,1.17
Red Packet,2/18/15 12:43,1.19
Red Packet,2/17/15 22:05,1.19
Red Packet,2/18/15 20:17,1.2
Red Packet,2/8/16 22:26,1.21
Red Packet,2/18/15 22:42,1.22
Red Packet,2/18/15 20:58,1.22
Red Packet,2/19/15 10:15,1.25
Red Packet,2/18/15 20:50,1.25
Red Packet,2/8/16 9:05,1.31
Red Packet,2/18/15 20:10,1.31
Red Packet,2/18/15 19:42,1.32
Red Packet,2/21/15 23:00,1.33
Red Packet,2/7/16 19:34,1.4
Red Packet,2/19/15 1:29,1.41
Red Packet,2/8/16 1:01,1.43
Red Packet,9/4/17 23:05,1.44
Red Packet,2/8/16 1:01,1.44
Red Packet,3/3/15 8:57,1.44
Red Packet,2/7/16 20:27,1.45
Red Packet,1/1/16 0:23,1.46
